connectivity,integration_hh_t
471.0,8.4827
517.0,7.6715
342.0,6.9963
303.0,6.7014
516.0,7.3655
353.0,9.2306
559.0,11.3251
360.0,9.7828
385.0,6.9007
343.0,6.2523
463.0,9.7164
526.0,7.3876
440.0,7.1716
455.0,7.8147
478.0,7.6578
484.0,8.2187
485.0,8.4161
632.0,11.1995
377.0,8.4203
375.0,6.9062
173.0,7.2169
350.0,9.4908
488.0,7.2382
578.0,10.1172
327.0,6.4135
718.0,12.6895
366.0,6.9651
390.0,7.8865
373.0,9.3717
328.0,6.2071
503.0,7.7512
545.0,9.2306
491.0,10.437
636.0,9.1227
528.0,7.4036
403.0,8.3547
274.0,5.8777
396.0,7.3371
375.0,7.1866
473.0,8.1369
182.0,5.7306
559.0,7.7372
643.0,9.1567
296.0,5.9061
308.0,7.7025
479.0,8.8591
152.0,6.1648
383.0,6.9341
483.0,7.9046
566.0,9.5862
409.0,8.3873
480.0,8.4868
470.0,8.4451
501.0,9.5013
547.0,9.7996
643.0,9.1567
428.0,6.8293
375.0,6.9679
295.0,7.9375
283.0,9.0841
548.0,8.7686
540.0,7.4421
551.0,9.5436
290.0,8.8227
297.0,5.8657
447.0,7.7863
299.0,6.1165
481.0,7.2351
500.0,7.7372
410.0,6.2161
285.0,6.1121
374.0,8.2187
682.0,11.1486
477.0,8.3955
331.0,5.9864
237.0,7.8612
119.0,5.377
488.0,8.2982
476.0,7.8218
548.0,10.8733
186.0,5.4748
282.0,8.8136
527.0,7.394
475.0,7.1957
491.0,7.2412
301.0,8.8317
571.0,10.2135
420.0,8.2901
566.0,8.8499
393.0,7.967
548.0,9.5436
188.0,6.2775
396.0,8.0757
505.0,8.2543
484.0,8.2187
644.0,10.6507
356.0,7.426
270.0,7.8648
479.0,7.2443
549.0,8.6931
408.0,8.0004
183.0,7.0887
244.0,6.8951
369.0,9.5809
342.0,6.5806
515.0,9.4908
411.0,6.8868
463.0,8.1913
401.0,9.5702
475.0,8.4576
304.0,6.3944
584.0,8.9795
606.0,9.3462
437.0,7.9818
542.0,9.1911
589.0,8.9561
306.0,5.8737
385.0,5.6218
458.0,8.3223
557.0,9.8729
349.0,8.9937
535.0,9.3411
522.0,9.4179
428.0,7.2534
520.0,7.6784
565.0,9.6077
476.0,10.2746
474.0,9.196
529.0,7.7129
242.0,8.5037
542.0,9.1567
580.0,8.9749
169.0,6.4666
541.0,7.4485
429.0,7.0278
435.0,7.8937
130.0,5.7287
557.0,7.7198
378.0,8.0492
439.0,7.4228
603.0,9.1616
516.0,8.7731
530.0,9.7219
545.0,7.4615
368.0,8.0079
284.0,7.4518
503.0,7.7582
585.0,9.0363
517.0,7.3371
496.0,8.4161
397.0,7.0567
247.0,6.5832
405.0,7.2565
615.0,10.2746
607.0,8.9655
270.0,6.3098
485.0,9.0173
422.0,6.5009
491.0,7.7094
544.0,7.4583
423.0,7.3718
444.0,9.6238
465.0,7.1806
474.0,7.2169
491.0,9.3563
239.0,8.3588
605.0,9.8052
413.0,7.0538
360.0,9.0173
262.0,6.6495
555.0,9.8559
244.0,5.6291
479.0,9.2207
396.0,6.0883
415.0,6.2274
363.0,6.9764
247.0,7.2504
217.0,7.2321
582.0,10.9705
614.0,9.0697
694.0,11.7595
149.0,6.2251
548.0,7.6853
409.0,8.2187
93.0,5.6384
624.0,8.9189
164.0,6.4739
526.0,10.559
481.0,8.4285
238.0,6.5306
442.0,8.1718
411.0,8.2982
423.0,7.6887
527.0,9.0745
190.0,7.2719
585.0,9.6781
560.0,7.7442
310.0,6.3424
477.0,8.4079
359.0,6.0796
377.0,6.9229
536.0,9.7606
566.0,8.4493
461.0,7.4941
235.0,6.5132
393.0,6.9934
280.0,8.7108
406.0,8.2782
98.0,4.8052
487.0,7.2626
379.0,7.1122
421.0,7.275
585.0,10.437
373.0,6.1186
285.0,5.949
532.0,8.5545
419.0,6.909
473.0,8.1757
170.0,6.4813
466.0,7.1329
567.0,7.7828
475.0,8.2384
239.0,6.4886
286.0,6.0496
470.0,8.0004
405.0,7.1477
164.0,6.7888
344.0,6.0242
564.0,9.6563
578.0,8.905
515.0,8.1757
