connectivity,integration_hh_t
271.0,8.7231
353.0,9.265
565.0,12.2319
298.0,9.6511
499.0,10.9411
199.0,8.0224
139.0,5.4405
448.0,10.368
457.0,10.2316
305.0,9.5831
584.0,12.0159
523.0,12.1908
112.0,5.2795
542.0,12.1772
444.0,10.3385
357.0,10.2605
571.0,11.1086
461.0,11.2347
492.0,11.7564
594.0,12.6439
344.0,10.3189
419.0,9.9057
418.0,9.9057
398.0,8.9306
173.0,8.3166
114.0,5.277
458.0,10.9853
290.0,9.5663
494.0,10.9742
496.0,10.4176
436.0,9.4829
384.0,10.5284
288.0,9.4092
432.0,10.5284
569.0,12.3569
487.0,10.2028
394.0,9.7461
199.0,7.5079
418.0,9.9967
417.0,9.2571
358.0,9.6768
326.0,8.5923
362.0,10.3878
452.0,11.293
422.0,10.0521
127.0,5.3787
550.0,11.8331
375.0,10.4276
471.0,11.1541
151.0,6.0413
547.0,11.7946
368.0,10.1933
456.0,10.4376
157.0,7.3507
412.0,9.7548
223.0,7.9174
580.0,12.8075
311.0,8.413
139.0,7.0645
460.0,11.1086
450.0,10.8973
447.0,10.7044
248.0,9.1714
335.0,8.2976
458.0,10.4276
566.0,12.5275
219.0,8.1242
451.0,10.3581
427.0,10.5386
439.0,10.8107
529.0,11.6557
302.0,9.6085
333.0,10.2124
489.0,11.0973
371.0,9.11
477.0,11.2347
545.0,11.9894
181.0,7.9002
416.0,10.2028
456.0,10.4276
443.0,10.8755
521.0,10.6002
367.0,7.7318
268.0,8.7371
361.0,10.2702
527.0,12.0425
436.0,10.7044
304.0,7.277
408.0,9.8609
468.0,11.4715
525.0,11.52
606.0,13.2117
456.0,10.9964
177.0,6.8597
227.0,7.4209
297.0,9.2967
444.0,10.2896
456.0,10.9631
209.0,7.3856
420.0,10.8107
198.0,7.513
96.0,6.7617
288.0,9.4912
415.0,9.8609
278.0,9.1482
299.0,8.426
318.0,8.4917
201.0,7.9754
368.0,9.3687
432.0,9.7987
115.0,5.3156
438.0,10.1647
129.0,6.1297
408.0,9.4995
410.0,10.2316
474.0,11.1655
355.0,10.1552
425.0,10.0151
368.0,9.8342
459.0,10.5488
495.0,11.7946
256.0,8.6127
560.0,12.3429
143.0,7.5338
369.0,8.07
404.0,9.7987
289.0,9.4995
434.0,10.6729
142.0,7.2576
155.0,7.3211
613.0,13.3086
289.0,9.6425
513.0,12.4274
460.0,10.4879
446.0,10.3091
198.0,8.2786
333.0,8.8724
495.0,11.7184
118.0,6.8339
420.0,10.498
343.0,8.6883
408.0,9.4747
466.0,11.1655
441.0,10.2605
283.0,9.4092
505.0,11.731
403.0,10.0151
456.0,10.4476
472.0,11.1427
431.0,9.8342
444.0,10.9521
407.0,9.6085
168.0,7.2335
337.0,10.0428
602.0,13.1162
458.0,10.9742
120.0,5.7057
189.0,6.9562
555.0,11.9894
426.0,9.9875
469.0,11.1086
529.0,11.1427
366.0,10.222
311.0,9.7113
210.0,8.5451
459.0,11.2463
422.0,10.9521
434.0,11.041
508.0,10.9082
190.0,6.7242
452.0,10.9853
347.0,10.0987
459.0,11.1885
452.0,10.222
339.0,10.3483
469.0,11.2463
445.0,10.8215
247.0,8.2535
148.0,6.3183
507.0,11.9631
320.0,9.852
186.0,7.9754
130.0,6.1505
167.0,6.4877
414.0,9.9329
163.0,6.4916
582.0,12.2595
378.0,8.64
437.0,10.7786
389.0,9.3126
444.0,10.8107
399.0,10.3091
521.0,12.1229
362.0,9.7461
579.0,12.3709
512.0,12.1365
504.0,11.569
516.0,10.5488
287.0,8.5117
339.0,10.2028
195.0,6.9829
390.0,10.1647
292.0,9.4418
186.0,7.4259
325.0,7.7483
288.0,8.1668
550.0,11.8331
447.0,10.3189
440.0,10.1269
393.0,10.4576
384.0,10.4576
435.0,9.8788
474.0,11.52
379.0,8.6952
604.0,13.1637
399.0,10.5693
436.0,10.3189
539.0,12.15
557.0,12.4701
454.0,10.6209
426.0,10.1269
449.0,11.2347
393.0,10.0336
465.0,9.8609
