col,row,px_left,px_top,px_right,px_bottom,world_x_min,world_x_max,world_y_min,world_y_max,walkable,connectivity,isovist_area_px,isovist_perimeter,integration_hh_t,integration_hh_m,choice_t
20,13,320,208,336,224,-1630.0,-1550.0,593.0,673.0,1,514,131584.0,272.0,10.5183,0.0188,435.8509
21,13,336,208,352,224,-1550.0,-1470.0,593.0,673.0,1,540,138240.0,312.0,11.2696,0.0191,627.2431
22,13,352,208,368,224,-1470.0,-1390.0,593.0,673.0,1,519,132864.0,267.0,10.9411,0.0193,516.5513
23,13,368,208,384,224,-1390.0,-1310.0,593.0,673.0,1,526,134656.0,256.0,10.9192,0.0195,563.0252
24,13,384,208,400,224,-1310.0,-1230.0,593.0,673.0,1,540,138240.0,282.0,10.9853,0.0197,628.3322
25,13,400,208,416,224,-1230.0,-1150.0,593.0,673.0,1,551,141056.0,281.0,10.9853,0.0199,693.5283
26,13,416,208,432,224,-1150.0,-1070.0,593.0,673.0,1,557,142592.0,281.0,10.9742,0.0200,746.8566
27,13,432,208,448,224,-1070.0,-990.0,593.0,673.0,1,571,146176.0,313.0,11.1086,0.0201,876.1012
28,13,448,208,464,224,-990.0,-910.0,593.0,673.0,1,582,148992.0,312.0,11.2347,0.0202,1024.5881
29,13,464,208,480,224,-910.0,-830.0,593.0,673.0,1,563,144128.0,311.0,11.0075,0.0202,1124.2919
30,13,480,208,496,224,-830.0,-750.0,593.0,673.0,1,518,132608.0,306.0,10.5284,0.0201,878.7834
31,13,496,208,512,224,-750.0,-670.0,593.0,673.0,1,454,116224.0,248.0,10.6209,0.0200,518.6664
32,13,512,208,528,224,-670.0,-590.0,593.0,673.0,1,403,103168.0,246.0,10.0151,0.0199,444.7861
33,13,528,208,544,224,-590.0,-510.0,593.0,673.0,1,320,81920.0,171.0,8.0047,0.0196,155.1706
34,13,544,208,560,224,-510.0,-430.0,593.0,673.0,1,304,77824.0,157.0,7.7649,0.0193,134.6082
35,13,560,208,576,224,-430.0,-350.0,593.0,673.0,1,292,74752.0,147.0,7.4057,0.0191,112.1207
36,13,576,208,592,224,-350.0,-270.0,593.0,673.0,1,282,72192.0,141.0,7.1715,0.0188,97.8033
37,13,592,208,608,224,-270.0,-190.0,593.0,673.0,1,278,71168.0,138.0,7.1060,0.0186,91.8014
38,13,608,208,624,224,-190.0,-110.0,593.0,673.0,1,269,68864.0,136.0,7.0280,0.0183,84.4356
42,13,672,208,688,224,130.0,210.0,593.0,673.0,1,90,23040.0,72.0,5.0776,0.0185,4.6228
43,13,688,208,704,224,210.0,290.0,593.0,673.0,1,179,45824.0,141.0,7.8887,0.0186,431.6210
44,13,704,208,720,224,290.0,370.0,593.0,673.0,1,189,48384.0,148.0,7.9521,0.0184,517.5719
45,13,720,208,736,224,370.0,450.0,593.0,673.0,1,189,48384.0,141.0,6.5660,0.0183,430.2967
46,13,736,208,752,224,450.0,530.0,593.0,673.0,1,175,44800.0,145.0,6.5502,0.0181,374.3881
47,13,752,208,768,224,530.0,610.0,593.0,673.0,1,150,38400.0,147.0,6.4417,0.0178,278.6029
48,13,768,208,784,224,610.0,690.0,593.0,673.0,1,128,32768.0,129.0,6.2422,0.0175,234.5991
49,13,784,208,800,224,690.0,770.0,593.0,673.0,1,124,31744.0,112.0,5.3575,0.0171,60.1764
50,13,800,208,816,224,770.0,850.0,593.0,673.0,1,131,33536.0,117.0,5.4161,0.0168,104.3105
51,13,816,208,832,224,850.0,930.0,593.0,673.0,1,139,35584.0,121.0,5.4405,0.0164,174.0403
52,13,832,208,848,224,930.0,1010.0,593.0,673.0,1,151,38656.0,137.0,6.0413,0.0161,274.2257
