ref,x1,y1,x2,y2,choice,choice_norm,connectivity,control,controllability,entropy,harmonic_mean_depth,integration_hh,integration_p_value,integration_tekl,intensity,line_length,mean_depth,node_count,ra,ra_penn,rra,relativised_entropy,total_depth,crossfire,crossfire_per_m,length_m
108,341.2,537.6,402.4,542.8,3285,0.21090138,4,0.98333335,0.36363637,4.4622321,5.2539687,0.49374732,0.09572234,0.59863049,0.44874424,61.420517,11.00565,178,0.11370057,0.55141842,2.0253274,4.420857,1948,7.0,5.982594842721201,1.17006084885
109,444.0,480.0,451.2,475.2,1,0.000064201333,3,0.83333331,0.5,4.1972427,6.0943441,0.48987481,0.094971575,0.59800094,0.41878319,8.6533232,11.084745,178,0.11459938,0.48795182,2.041338,3.8048413,1962,2.0,12.132550028920672,0.16484580696000004
110,268.0,724.0,321.71,719.71,0,0.0,3,0.83333331,0.60000002,4.3559818,5.175024,0.4105289,0.07958886,0.58421302,0.36419198,53.881058,13.033898,178,0.13674885,0.43873519,2.4358821,4.1313758,2307,13.0,12.665205983199693,1.0264341549
111,316.0,720.0,321.71,719.71,0,0.0,3,0.83333331,0.60000002,4.3559818,5.175024,0.4105289,0.07958886,0.58421302,0.36419198,5.7173595,13.033898,178,0.13674885,0.43873519,2.4358821,4.1313758,2307,0.0,0.0,0.108915698475
112,412.0,492.0,413.6,497.2,2931,0.18817411,3,1.0,0.375,4.2432699,5.5106606,0.52392244,0.10157236,0.60341632,0.45281899,5.440588,10.429379,178,0.10715203,0.52122778,1.9086795,3.8341064,1846,3.0,28.945458645394563,0.10364320140000001
113,413.6,497.2,430.8,494.4,1314,0.084360555,4,1.0833334,0.36363637,4.2734332,6.6757526,0.51802522,0.10042907,0.60249716,0.45090169,17.426416,10.536723,178,0.10837185,0.51577741,1.930408,3.9519699,1865,0.0,0.0,0.3319732248
114,782.8,749.6,785.2,794.4,187,0.01200565,4,1.25,0.44444445,4.574789,5.348681,0.31901735,0.061847597,0.5656004,0.29719433,44.864239,16.485876,178,0.17597586,0.35521054,3.1346259,5.3742723,2918,1.0,1.170050790791525,0.85466375295
115,776.31,797.85,785.2,794.4,196,0.012583462,3,1.0833334,0.42857143,4.5775433,5.4321723,0.31843647,0.061734986,0.56547022,0.29683158,9.5359631,16.514124,178,0.17629686,0.35403433,3.1403439,5.308075,2923,0.0,0.0,0.181660097055
116,658.0,802.0,708.0,800.0,4122,0.26463792,2,0.83333331,0.40000001,4.3828039,5.81778,0.39584723,0.076742537,0.58145005,0.35332385,50.039986,13.480226,178,0.14182074,0.41791832,2.526227,4.614192,2386,3.0,3.147089508790628,0.9532617333000001
117,490.0,818.0,506.0,806.0,1856,0.11915768,2,1.0,0.5,4.1566725,5.6854029,0.41619539,0.080687419,0.58525985,0.35232747,20.0,12.870056,178,0.13488701,0.36906907,2.4027176,4.0173888,2278,9.0,23.62204724409449,0.381
